Reg charity number,Sub charity number,Charity name,Date registered,Status,Date for financial year ending,Total income,Total spending,Charitable spending,Income generation and governance,Retained for future use,Public address,Website,Email,Telephone,Company number,What the charity does,Who the charity helps,How the charity works,
100072,0,Challenge For Youth,06/06/2014,In default,,0,0,0,0,0,"112-114 Donegall Street, Belfast, Co Antrim., BT1 2GX",www.challengeforyouth.org,info@challengeforyouth.org,02890236893,26530,"The prevention or relief of poverty,The advancement of education,The advancement of citizenship or community development,The advancement of human rights, conflict resolution or reconciliation or the promotion of  religious or racial harmony or equality and diversity,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Addictions (drug/solvent/alcohol abuse),Adult training,Children (5-13 year olds),Community safety/crime prevention,Ex-offenders and prisoners,Homelessness,Interface communities,Learning disabilities,Mental health,Parents,Unemployed/low income,Voluntary and community sector,Volunteers,Youth (14-25 year olds)","Advice/advocacy/information,Arts,Community development,Counselling/support,Criminal justice,Cross-border/cross-community,Education/training,Human rights/equality,Medical/health/sickness,Sport/recreation,Volunteer development,Youth development",
100073,0,An Gaeláras Ltd,16/05/2014,Up-to-date,31 March 2016,1220018,1013404,0,0,0,"Cultúrlann Uí Chanáin, 37 Great James Street, Derry., BT48 7DF",www.culturlann-doire.ie,eolas@culturlann-doire.ie,02871264132,37402,"The advancement of education,The advancement of citizenship or community development,The advancement of the arts, culture, heritage or science,The advancement of human rights, conflict resolution or reconciliation or the promotion of  religious or racial harmony or equality and diversity,The advancement of environmental protection or improvement","Children (5-13 year olds),Language community,Voluntary and community sector,Youth (14-25 year olds)","Arts,Community development,Cross-border/cross-community,Cultural,Education/training,Environment/sustainable development/conservation,Human rights/equality,Youth development",
100074,0,Jigsaw (Northern Ireland),07/04/2014,Up-to-date,31 March 2016,102674,104373,0,0,0,"Office 4B, Townsend Enterprise Park, 28 Townsend Street, Belfast, BT13 2ES",www.jigsawni.org.uk,info@jigsawni.org.uk,02890319054,35612,"The advancement of health or the saving of lives,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Carers,Learning disabilities,Mental health,Older people,Physical disabilities,Sensory disabilities","Arts,Sport/recreation",
100075,0,Brown & Brí,11/09/2014,Up-to-date,05 April 2016,0,0,0,0,0,"142 Deerpark Road, Belfastl, BT14 7PX",www.brownandbri.com,brownandbri@gmail.com,07852254660,0,"The advancement of education,The advancement of the arts, culture, heritage or science","Children (5-13 year olds),General public,Youth (14-25 year olds)","Arts,Cultural,Heritage/historical",
100076,0,North West Animal Welfare Group,07/04/2014,Up-to-date,31 December 2015,44143,42403,0,0,0,"336 Seacoast Road, Limavady, County Londonderry., BT49 0LA",,anne.rowe2@btinternet.com,02877750577,0,The advancement of animal welfare,General public,"Advice/advocacy/information,Animal welfare,Education/training",
100077,0,Clonard Residents Association,28/04/2014,Up-to-date,31 October 2016,4301,8257,0,0,0,"1St Floor, 152 Springfield Road, Belfast, BT12 7AE",,,02890585080,26138,The advancement of citizenship or community development,Specific areas of deprivation,Community development,
100078,0,The Foyle Civic Trust,16/05/2014,Up-to-date,31 March 2016,19821,478,0,0,0,"1-3 Waterloo Place, Londonderry, BT48 6BT",www.foylecivictrust.org,foylecivictrust@gmail.com,442871371037,0,"The advancement of citizenship or community development,The advancement of the arts, culture, heritage or science,The advancement of environmental protection or improvement","General public,Older people,Voluntary and community sector","Advice/advocacy/information,Community enterprise,Cultural,Education/training,Environment/sustainable development/conservation,General charitable purposes,Heritage/historical,Research/evaluation",
100079,0,Down Masonic Widows' Fund,17/12/2014,Up-to-date,31 January 2017,224210,173339,0,0,0,"1 The Grange, Killowen Grange, Lisburn, County Antrim., BT28 3XX",www.downwidows.org,admin@downwidows.org,02892665306,0,The prevention or relief of poverty,"Older people,Women","Grant making,Relief of poverty",
100081,0,Lisburn Downtown Centre,21/05/2014,Up-to-date,31 August 2016,46246,46246,0,0,0,"49 Market Square South, Lisburn, County Antrim., BT28 1AD",www.downtowncentre.org,info@downtowncentre.org,02892672052,0,"The advancement of education,The advancement of health or the saving of lives,The advancement of citizenship or community development","Adult training,Carers,Community safety/crime prevention,General public,Learning disabilities,Mental health,Older people,Parents,Specific areas of deprivation,Unemployed/low income,Voluntary and community sector,Volunteers","Advice/advocacy/information,Community development,Counselling/support,Disability,Education/training,General charitable purposes,Human rights/equality,Medical/health/sickness,Research/evaluation,Sport/recreation,Volunteer development",
100082,0,The Storehouse.Com Ltd,11/06/2014,Up-to-date,31 July 2016,2216,1961,0,0,0,"15A Carmagrim Road, Portglenone, Ballymena, County Antrim., BT44 8BP",,thestorehouseint@btinternet.com,028 25820074,613638,"The advancement of education,The advancement of religion,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","General public,Older people,Overseas/developing countries","Advice/advocacy/information,Education/training,General charitable purposes,Religious activities",
100084,0,Mater Hospital Yp Fund,03/04/2014,Up-to-date,31 December 2015,720132,99895,0,0,0,"14 Portview, Bangor, County Down., BT20 5QB",,patodriscoll262@btinternet.com,02891473548,0,"The advancement of education,The advancement of health or the saving of lives","Carers,General public,Mental health,Older people,Physical disabilities,Sensory disabilities",Grant making,
100085,0,Lisnadill Full Gospel Church,28/04/2014,Up-to-date,31 December 2016,108528,99955,0,0,0,"17 Ballymoran Road, Armagh., BT60 2AW",,,028 3884 2832,0,"The prevention or relief of poverty,The advancement of religion","General public,Overseas/developing countries","Relief of poverty,Religious activities",
100086,0,Glen Rural Community Group (Armoy),18/11/2014,Up-to-date,31 October 2016,7635,9151,0,0,0,"154 Glenshesk Road, Cromaghs, Armoy, Ballymoney, County Antrim, BT53 8RL",,,028 2075 1378,0,"The prevention or relief of poverty,The advancement of education,The advancement of citizenship or community development,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Adult training,Community safety/crime prevention,General public,Men,Older people,Physical disabilities,Specific areas of deprivation,Voluntary and community sector,Volunteers,Women,Youth (14-25 year olds)","Community development,General charitable purposes,Rural development,Sport/recreation,Volunteer development,Youth development",
100087,0,Larne Foodbank,03/04/2014,Up-to-date,31 March 2016,8992,8999,0,0,0,"Craigyhill Methodist Church, 1 Brustin Brae Road, Larne, County Antrim., BT40 2HS",www.larne.foodbank.org.uk,info@larne.foodbank.org.uk,02828277530,0,"The prevention or relief of poverty,The advancement of health or the saving of lives,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Addictions (drug/solvent/alcohol abuse),Ethnic minorities,Ex-offenders and prisoners,Homelessness,Older people,Specific areas of deprivation,Unemployed/low income,Victim support,Voluntary and community sector","Advice/advocacy/information,General charitable purposes,Relief of poverty,Welfare/benevolent",
100088,0,Raloo Non-Subscribing Presbyterian Church,13/10/2014,Up-to-date,31 December 2015,29896,25327,0,0,0,"33 Castletown Road, Ballynure, Ballyclare, Co Antrim, BT39 9QG",,,028 9332 3744,0,The advancement of religion,"Men,Older people,Women","Counselling/support,Religious activities",
100089,0,North Down & Ards U3a,07/04/2014,Up-to-date,31 March 2016,26551,22829,0,0,0,"14 Windrush, Groomsport, BT19 6FH",www.ndau3a.com,u3anorthdownandards@hotmail.com,028 9146 6130,0,"The advancement of education,The advancement of citizenship or community development",Older people,"Education/training,Heritage/historical,Sport/recreation",
100090,0,M'lop Tapang Northern Ireland,11/05/2015,Recently registered,,0,0,0,0,0,"6 Houston Gardens, Belfast, BT5 6AU",www.mloptapang.org,info@mloptapang.org,07799147931,0,"The prevention or relief of poverty,The advancement of education,The advancement of health or the saving of lives","Addictions (drug/solvent/alcohol abuse),Adult training,Children (5-13 year olds),Homelessness,Overseas/developing countries,Preschool (0-5 year olds),Youth (14-25 year olds)","Advice/advocacy/information,Community enterprise,Counselling/support,Education/training,Human rights/equality,Relief of poverty,Youth development",
100091,0,Drumquin Women's Group,03/07/2014,Up-to-date,31 March 2016,3943,4534,0,0,0,"8 Castlederg Road, Drumquin, Omagh, County Tyrone., BT78 4SB",,,02882831358,0,"The prevention or relief of poverty,The advancement of education,The advancement of health or the saving of lives,Other charitable purposes","Adult training,General public,Men,Older people,Women","Advice/advocacy/information,Arts,Community development,Cultural,Education/training,Heritage/historical,Medical/health/sickness,Rural development",
100092,0,Colin Neighbourhood Partnership,31/03/2014,Up-to-date,31 March 2016,1981321,2114361,0,0,0,"Cloona House, 31 Colin Road, Dunmurry, Belfast., BT17 0LG",www.newcolin.com,info@newcolin.com,028 90 623813,47757,"The prevention or relief of poverty,The advancement of education,The advancement of health or the saving of lives,The advancement of citizenship or community development,The advancement of the arts, culture, heritage or science,The advancement of environmental protection or improvement,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Children (5-13 year olds),General public,Men,Mental health,Older people,Parents,Preschool (0-5 year olds),Unemployed/low income,Youth (14-25 year olds)","Community development,Community enterprise,Economic development,Education/training,General charitable purposes,Medical/health/sickness,Relief of poverty,Youth development",
100093,0,Now Project Limited,21/05/2014,Up-to-date,31 March 2016,1748416,1630410,0,0,0,"Now Project Group, 428 Springfield Road, Belfast., BT12 7DU",www.nowgroup.org,admin@nowgroup.org,028 9043 6400,0,"The advancement of education,The advancement of health or the saving of lives,The advancement of citizenship or community development,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Adult training,Learning disabilities,Parents,Unemployed/low income,Volunteers,Youth (14-25 year olds)","Advice/advocacy/information,Disability,Education/training,Volunteer development,Youth development",
100094,0,Desertcreat And Ardtrea Senior Citizens Group,15/04/2014,Up-to-date,31 May 2016,13766,9279,0,0,0,"50 Lower Grange Road, Cookstown, County Tyrone., BT80 8SL",www.ardtreaanddesertcreat.co.uk,,028 8676 1163,0,"The advancement of education,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Older people,Physical disabilities,Voluntary and community sector,Women","Advice/advocacy/information,Counselling/support",
